Index,DigiKey Part #,Manufacturer Part Number,Manufacturer,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,2820-102991834-ND,102991834,BeagleBoard,BEAGLEY-AI,,1,0,$72.54000,$72.54
,,,,,,,,Subtotal,$72.54
